NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,label
0.222628,0.142369,-0.125433,0.228224,0.131619,-0.114330,0.232653,0.133214,-0.114629,0.237033,0.135093,-0.114660,0.217976,0.131337,-0.112141,0.214369,0.132440,-0.112456,0.210501,0.134073,-0.112672,0.242519,0.149161,-0.041526,0.204933,0.151038,-0.032510,0.230393,0.166028,-0.095313,0.216885,0.165423,-0.094630,0.274084,0.237003,-0.025819,0.187973,0.256838,0.010372,0.262114,0.353130,-0.071872,0.209957,0.357840,-0.109875,0.206340,0.277291,-0.134953,0.248383,0.256276,-0.224741,0.191700,0.269668,-0.152235,0.258478,0.235748,-0.256773,0.195970,0.252863,-0.147356,0.253155,0.222053,-0.246122,0.200959,0.257760,-0.132404,0.249982,0.231517,-0.224596,0.281120,0.511500,-0.007508,0.227846,0.524155,0.007347,0.296460,0.685037,0.053099,0.237962,0.702758,0.026665,0.296762,0.823709,0.207859,0.256991,0.853889,0.131729,0.289820,0.840470,0.218920,0.268118,0.871712,0.139200,0.322597,0.891756,0.155013,0.230805,0.928209,0.054220,BRAZOS_CRUZADOS
0.229829,0.144075,-0.133745,0.234791,0.132504,-0.125733,0.239741,0.133818,-0.126047,0.244183,0.135610,-0.126090,0.224980,0.132582,-0.119125,0.221538,0.133675,-0.119434,0.217378,0.135399,-0.119652,0.247963,0.149311,-0.063179,0.210175,0.151421,-0.034356,0.236954,0.167462,-0.107146,0.223906,0.167116,-0.100727,0.280705,0.235744,-0.061361,0.197146,0.259016,0.022856,0.266470,0.353415,-0.085204,0.216403,0.359987,-0.088524,0.208626,0.285286,-0.104108,0.250684,0.257616,-0.216344,0.194267,0.275137,-0.116490,0.265338,0.239711,-0.245512,0.197853,0.254369,-0.109943,0.255311,0.222770,-0.235332,0.203409,0.260543,-0.099208,0.255767,0.231551,-0.216813,0.291533,0.511782,-0.022734,0.241426,0.526939,0.022579,0.305793,0.684312,0.041530,0.249181,0.704107,0.044491,0.307812,0.823661,0.207771,0.267595,0.852404,0.144223,0.303377,0.840283,0.218936,0.279522,0.870591,0.151618,0.326343,0.891243,0.154195,0.238567,0.927261,0.077558,BRAZOS_CRUZADOS
0.235817,0.145257,-0.141922,0.240890,0.132864,-0.137760,0.245824,0.133946,-0.138087,0.250042,0.135658,-0.138124,0.230855,0.133793,-0.127735,0.227413,0.135276,-0.128051,0.223558,0.137179,-0.128264,0.253831,0.149256,-0.088398,0.218165,0.152381,-0.043561,0.243371,0.167734,-0.119977,0.230552,0.168203,-0.109001,0.287259,0.235068,-0.094049,0.211515,0.268709,0.027826,0.271784,0.356606,-0.091767,0.221121,0.373965,-0.070249,0.211801,0.290428,-0.066176,0.236746,0.275696,-0.222241,0.197850,0.276158,-0.073707,0.248390,0.246118,-0.249731,0.201366,0.256354,-0.069571,0.239186,0.230239,-0.245164,0.206711,0.263836,-0.060998,0.241272,0.237665,-0.226236,0.298954,0.513621,-0.033312,0.251459,0.529166,0.033182,0.313899,0.684338,0.039973,0.257544,0.703784,0.067348,0.318608,0.823853,0.202100,0.276148,0.851773,0.160217,0.314116,0.840596,0.213333,0.288095,0.866209,0.166824,0.335024,0.890860,0.148617,0.249491,0.925459,0.096664,BRAZOS_CRUZADOS
0.238111,0.147845,-0.130207,0.243514,0.134808,-0.121302,0.248022,0.135525,-0.121620,0.252850,0.136735,-0.121649,0.232120,0.136433,-0.118430,0.228088,0.138316,-0.118756,0.224056,0.140475,-0.118980,0.257440,0.149371,-0.054098,0.218829,0.154515,-0.041719,0.246517,0.168778,-0.102181,0.232008,0.171317,-0.100543,0.289719,0.235196,-0.034624,0.208688,0.267683,0.010957,0.282530,0.355616,-0.062848,0.236165,0.371650,-0.083780,0.221819,0.295062,-0.099048,0.272550,0.274596,-0.202156,0.205513,0.287599,-0.113618,0.285304,0.249738,-0.227507,0.208632,0.263575,-0.107915,0.279092,0.233781,-0.216959,0.214514,0.269952,-0.095098,0.274977,0.242971,-0.201391,0.307682,0.513667,-0.017081,0.255887,0.532760,0.016887,0.327198,0.682604,0.037736,0.265356,0.706827,0.050610,0.329518,0.820789,0.188041,0.285746,0.851074,0.150471,0.321886,0.839619,0.198972,0.298318,0.864059,0.158009,0.358700,0.883016,0.136763,0.261236,0.925362,0.090309,BRAZOS_CRUZADOS
0.251400,0.147810,-0.128856,0.256142,0.134493,-0.118229,0.260039,0.134896,-0.118535,0.264415,0.135670,-0.118553,0.245785,0.136362,-0.116840,0.242092,0.138229,-0.117170,0.237817,0.140435,-0.117397,0.271289,0.147237,-0.044086,0.233834,0.154446,-0.041272,0.260812,0.168783,-0.098890,0.247381,0.171371,-0.099251,0.305194,0.232185,-0.022049,0.219647,0.266864,0.006648,0.303289,0.350288,-0.073758,0.248158,0.370230,-0.089322,0.245907,0.277279,-0.159243,0.291095,0.258513,-0.202164,0.234943,0.265217,-0.179344,0.300658,0.237446,-0.227835,0.239601,0.249560,-0.172180,0.296364,0.223925,-0.217236,0.243997,0.255853,-0.156452,0.293138,0.235081,-0.201319,0.319545,0.511677,-0.010247,0.265280,0.532409,0.010055,0.337848,0.679197,0.041502,0.273550,0.706181,0.037885,0.340602,0.814870,0.208842,0.294047,0.848062,0.144837,0.332988,0.833978,0.221796,0.306731,0.859338,0.152484,0.368914,0.878901,0.156515,0.275749,0.925021,0.081035,BRAZOS_CRUZADOS
0.249509,0.149307,-0.121061,0.254480,0.135709,-0.110054,0.258807,0.135886,-0.110357,0.263500,0.136218,-0.110368,0.243395,0.138365,-0.109220,0.239611,0.140669,-0.109535,0.235845,0.143088,-0.109742,0.269915,0.147269,-0.036773,0.232305,0.156390,-0.035464,0.258946,0.169205,-0.091013,0.245174,0.173018,-0.092005,0.304669,0.231476,-0.015442,0.219105,0.267229,0.005473,0.312452,0.349232,-0.080257,0.245660,0.369705,-0.098171,0.254757,0.277470,-0.185307,0.284398,0.259151,-0.222279,0.240699,0.265543,-0.209245,0.294820,0.238541,-0.253238,0.243133,0.252029,-0.203289,0.291890,0.224275,-0.242097,0.248167,0.257081,-0.183540,0.287898,0.236679,-0.221835,0.323479,0.510281,-0.005582,0.268788,0.531608,0.005394,0.345649,0.675452,0.049260,0.280341,0.705731,0.036665,0.351395,0.810073,0.215449,0.303996,0.847830,0.145549,0.343551,0.829174,0.227751,0.316802,0.859242,0.153695,0.380768,0.875771,0.157056,0.289250,0.927519,0.077327,BRAZOS_CRUZADOS
0.245551,0.152166,-0.175797,0.250819,0.137974,-0.165147,0.255183,0.137616,-0.165477,0.259914,0.137499,-0.165506,0.240147,0.142028,-0.162371,0.236715,0.144517,-0.162680,0.233164,0.146972,-0.162897,0.267256,0.148061,-0.088227,0.229396,0.160856,-0.076206,0.256111,0.171356,-0.143963,0.242263,0.175674,-0.142325,0.306368,0.234973,-0.053502,0.217725,0.278241,-0.021931,0.319932,0.366986,-0.102904,0.238578,0.402806,-0.118567,0.259100,0.292218,-0.195622,0.274994,0.287650,-0.265191,0.244784,0.283708,-0.218423,0.286497,0.268829,-0.298172,0.247672,0.268622,-0.214946,0.284300,0.255881,-0.291154,0.252651,0.271467,-0.194067,0.279922,0.263766,-0.266920,0.327441,0.510304,-0.005003,0.272338,0.536389,0.004819,0.345943,0.673913,0.038894,0.289159,0.708984,0.036082,0.351649,0.809050,0.213417,0.313425,0.847689,0.158234,0.345858,0.829405,0.226065,0.325129,0.859460,0.167625,0.383910,0.869927,0.153436,0.299880,0.927547,0.083862,BRAZOS_CRUZADOS
0.257847,0.152018,-0.162398,0.262360,0.137912,-0.152354,0.267386,0.137583,-0.152675,0.271401,0.137457,-0.152692,0.251774,0.141698,-0.148501,0.248466,0.144105,-0.148812,0.244507,0.146595,-0.149023,0.277151,0.148006,-0.079446,0.239589,0.160647,-0.062365,0.267091,0.171333,-0.132098,0.253095,0.175449,-0.129023,0.315959,0.234593,-0.051429,0.229645,0.280640,-0.016550,0.334642,0.370637,-0.096584,0.242629,0.415174,-0.093314,0.266491,0.311307,-0.167605,0.277196,0.315210,-0.244388,0.250405,0.307885,-0.189001,0.288041,0.295780,-0.274677,0.253512,0.292286,-0.185935,0.282700,0.279961,-0.264204,0.259494,0.291853,-0.164539,0.279386,0.285322,-0.243888,0.336709,0.510014,-0.006144,0.283063,0.534966,0.005976,0.356585,0.672690,0.048165,0.296577,0.706463,0.049249,0.360492,0.808015,0.228181,0.321101,0.847549,0.169872,0.353857,0.829855,0.241409,0.332758,0.859589,0.178544,0.393124,0.865226,0.163143,0.310975,0.927220,0.089396,BRAZOS_CRUZADOS
0.255208,0.154242,-0.249917,0.259542,0.139589,-0.239259,0.264385,0.139025,-0.239615,0.268714,0.138618,-0.239648,0.248323,0.143756,-0.236005,0.244839,0.146087,-0.236335,0.240981,0.148595,-0.236586,0.276403,0.148627,-0.154824,0.236909,0.162324,-0.140435,0.265909,0.172600,-0.214496,0.251380,0.177826,-0.212216,0.317793,0.237808,-0.099804,0.229483,0.293021,-0.065677,0.343456,0.379559,-0.096741,0.238714,0.437891,-0.138250,0.275808,0.364408,-0.162284,0.274951,0.372322,-0.296501,0.258216,0.364373,-0.184436,0.286891,0.355599,-0.333190,0.260353,0.343534,-0.178668,0.282882,0.335617,-0.330040,0.265363,0.344436,-0.163027,0.280205,0.339590,-0.299550,0.343146,0.510236,-0.004732,0.289535,0.539641,0.004579,0.364422,0.673044,0.059742,0.309783,0.709369,0.049519,0.369861,0.807723,0.274970,0.334510,0.850371,0.199419,0.363428,0.830012,0.291135,0.344899,0.862905,0.210517,0.402581,0.863130,0.200092,0.327525,0.928571,0.106339,BRAZOS_CRUZADOS
0.255998,0.156086,-0.251957,0.260511,0.142368,-0.241112,0.265283,0.141823,-0.241460,0.269645,0.141210,-0.241482,0.248976,0.146302,-0.237505,0.245500,0.148741,-0.237832,0.241761,0.151313,-0.238085,0.277806,0.150891,-0.157833,0.237997,0.165717,-0.141781,0.267278,0.174423,-0.217207,0.252676,0.180296,-0.214443,0.321009,0.240195,-0.103672,0.233928,0.299461,-0.068373,0.348035,0.383287,-0.099901,0.242815,0.442297,-0.141613,0.277214,0.370479,-0.159197,0.279727,0.376281,-0.296686,0.260857,0.371667,-0.180270,0.294072,0.360385,-0.333212,0.260944,0.349759,-0.176955,0.288956,0.338748,-0.329726,0.266048,0.351176,-0.158526,0.286816,0.342336,-0.299617,0.348826,0.509748,-0.004192,0.295642,0.539768,0.004050,0.369941,0.671371,0.056639,0.315040,0.709190,0.048350,0.380176,0.807925,0.254567,0.343465,0.850155,0.185547,0.374352,0.830361,0.268747,0.354927,0.862987,0.195839,0.410543,0.863725,0.183507,0.337155,0.928661,0.096551,BRAZOS_CRUZADOS
