Segundo,Pose
0.500000,FIRMES
1.000000,FIRMES
1.500000,FIRMES
2.000000,FIRMES
2.500000,FIRMES
3.000000,FIRMES
3.500000,FIRMES
4.000000,FIRMES
4.500000,FIRMES
5.000000,FIRMES
5.500000,FIRMES
6.000000,FIRMES
6.500000,FIRMES
7.000000,OTRO
7.500000,OTRO
8.000000,OTRO
8.500000,OTRO
9.000000,OTRO
9.500000,OTRO
10.000000,OTRO
10.500000,OTRO
11.000000,OTRO
11.500000,OTRO
12.000000,FIRMES
12.500000,FIRMES
13.000000,FIRMES
13.500000,FIRMES
14.000000,FIRMES
14.500000,FIRMES
15.000000,FIRMES
15.500000,FIRMES
16.000000,FIRMES
16.500000,BRAZOS_CRUZADOS
17.000000,BRAZOS_CRUZADOS
17.500000,BRAZOS_CRUZADOS
18.000000,BRAZOS_CRUZADOS
18.500000,BRAZOS_CRUZADOS
19.000000,BRAZOS_CRUZADOS
19.500000,BRAZOS_CRUZADOS
20.000000,BRAZOS_CRUZADOS
20.500000,BRAZOS_CRUZADOS
21.000000,BRAZOS_CRUZADOS
21.500000,BRAZOS_CRUZADOS
22.000000,BRAZOS_CRUZADOS
22.500000,BRAZOS_CRUZADOS
23.000000,BRAZOS_CRUZADOS
23.500000,BRAZOS_CRUZADOS
24.000000,BRAZOS_CRUZADOS
24.500000,BRAZOS_CRUZADOS
25.000000,BRAZOS_CRUZADOS
25.500000,BRAZOS_CRUZADOS
26.000000,BRAZOS_CRUZADOS
26.500000,POSICION_FETAL
27.000000,POSICION_FETAL
27.500000,POSICION_FETAL
28.000000,POSICION_FETAL
28.500000,POSICION_FETAL
29.000000,BRAZOS_CRUZADOS
29.500000,BRAZOS_CRUZADOS
30.000000,BRAZOS_CRUZADOS
30.500000,FIRMES
31.000000,POSICION_FETAL
31.500000,POSICION_FETAL
32.000000,POSICION_FETAL
32.500000,POSICION_FETAL
33.000000,POSICION_FETAL
33.500000,POSICION_FETAL
34.000000,POSICION_FETAL
34.500000,POSICION_FETAL
35.000000,BRAZOS_CRUZADOS
35.500000,POSICION_FETAL
36.000000,POSICION_FETAL
36.500000,POSICION_FETAL
37.000000,POSICION_FETAL
37.500000,FIRMES
38.000000,FIRMES
38.500000,FIRMES
39.000000,FIRMES
39.500000,OTRO
40.000000,OTRO
40.500000,OTRO
41.000000,OTRO
41.500000,OTRO
42.000000,OTRO
42.500000,POSICION_FETAL
43.000000,BRAZOS_CRUZADOS
43.500000,BRAZOS_CRUZADOS
44.000000,BRAZOS_CRUZADOS
44.500000,BRAZOS_CRUZADOS
45.000000,POSICION_FETAL
45.500000,POSICION_FETAL
46.000000,BRAZOS_CRUZADOS
46.500000,BRAZOS_CRUZADOS
47.000000,POSICION_FETAL
47.500000,POSICION_FETAL
48.000000,POSICION_FETAL
48.500000,POSICION_FETAL
49.000000,POSICION_FETAL
49.500000,BRAZOS_CRUZADOS
50.000000,FIRMES
50.500000,FIRMES
51.000000,FIRMES
51.500000,FIRMES
52.000000,FIRMES
52.500000,OTRO
53.000000,OTRO
53.500000,OTRO
54.000000,OTRO
54.500000,OTRO
55.000000,FIRMES
55.500000,BRAZOS_CRUZADOS
56.000000,BRAZOS_CRUZADOS
56.500000,BRAZOS_CRUZADOS
57.000000,BRAZOS_CRUZADOS
57.500000,BRAZOS_CRUZADOS
58.000000,BRAZOS_CRUZADOS
58.500000,BRAZOS_CRUZADOS
59.000000,BRAZOS_CRUZADOS
59.500000,BRAZOS_CRUZADOS
60.000000,POSICION_FETAL
60.500000,POSICION_FETAL
61.000000,POSICION_FETAL
61.500000,POSICION_FETAL
62.000000,POSICION_FETAL
62.500000,FIRMES
63.000000,FIRMES
63.500000,FIRMES
64.000000,FIRMES
64.500000,FIRMES
65.000000,FIRMES
65.500000,FIRMES
66.000000,FIRMES
66.500000,OTRO
67.000000,OTRO
67.500000,OTRO
68.000000,OTRO
68.500000,OTRO
69.000000,OTRO
69.500000,OTRO
70.000000,OTRO
70.500000,FIRMES
71.000000,FIRMES
71.500000,FIRMES
72.000000,FIRMES
72.500000,FIRMES
73.000000,FIRMES
73.500000,FIRMES
74.000000,BRAZOS_CRUZADOS
74.500000,BRAZOS_CRUZADOS
75.000000,BRAZOS_CRUZADOS
75.500000,BRAZOS_CRUZADOS
76.000000,BRAZOS_CRUZADOS
