Segundo,Pose
0.100000,OTRO
0.200000,OTRO
0.300000,OTRO
0.400000,FIRMES
0.500000,FIRMES
0.600000,FIRMES
0.700000,FIRMES
0.800000,FIRMES
0.900000,FIRMES
1.000000,FIRMES
1.100000,FIRMES
1.200000,FIRMES
1.300000,FIRMES
1.400000,FIRMES
1.500000,FIRMES
1.600000,FIRMES
1.700000,FIRMES
1.800000,FIRMES
1.900000,FIRMES
2.000000,FIRMES
2.100000,FIRMES
2.200000,FIRMES
2.300000,FIRMES
2.400000,FIRMES
2.500000,FIRMES
2.600000,OTRO
2.700000,OTRO
2.800000,OTRO
2.900000,OTRO
3.000000,OTRO
3.100000,OTRO
3.200000,OTRO
3.300000,OTRO
3.400000,OTRO
3.500000,OTRO
3.600000,OTRO
3.700000,OTRO
3.800000,OTRO
3.900000,OTRO
4.000000,OTRO
4.100000,OTRO
4.200000,OTRO
4.300000,OTRO
4.400000,OTRO
4.500000,OTRO
4.600000,OTRO
4.700000,OTRO
4.800000,OTRO
4.900000,OTRO
5.000000,OTRO
5.100000,OTRO
5.200000,OTRO
5.300000,OTRO
5.400000,OTRO
5.500000,OTRO
5.600000,OTRO
5.700000,OTRO
5.800000,OTRO
5.900000,OTRO
6.000000,OTRO
6.100000,OTRO
6.200000,OTRO
6.300000,OTRO
6.400000,OTRO
6.500000,OTRO
6.600000,BRAZOS_CRUZADOS
6.700000,BRAZOS_CRUZADOS
6.800000,BRAZOS_CRUZADOS
6.900000,BRAZOS_CRUZADOS
7.000000,BRAZOS_CRUZADOS
7.100000,BRAZOS_CRUZADOS
7.200000,BRAZOS_CRUZADOS
7.300000,BRAZOS_CRUZADOS
7.400000,BRAZOS_CRUZADOS
7.500000,BRAZOS_CRUZADOS
7.600000,BRAZOS_CRUZADOS
7.700000,BRAZOS_CRUZADOS
7.800000,BRAZOS_CRUZADOS
7.900000,BRAZOS_CRUZADOS
8.000000,BRAZOS_CRUZADOS
8.100000,BRAZOS_CRUZADOS
8.200000,BRAZOS_CRUZADOS
8.300000,BRAZOS_CRUZADOS
8.400000,BRAZOS_CRUZADOS
8.500000,BRAZOS_CRUZADOS
8.600000,BRAZOS_CRUZADOS
8.700000,BRAZOS_CRUZADOS
8.800000,BRAZOS_CRUZADOS
8.900000,BRAZOS_CRUZADOS
9.000000,BRAZOS_CRUZADOS
9.100000,BRAZOS_CRUZADOS
9.200000,BRAZOS_CRUZADOS
9.300000,BRAZOS_CRUZADOS
9.400000,BRAZOS_CRUZADOS
9.500000,BRAZOS_CRUZADOS
9.600000,BRAZOS_CRUZADOS
9.700000,BRAZOS_CRUZADOS
9.800000,BRAZOS_CRUZADOS
9.900000,BRAZOS_CRUZADOS
10.000000,BRAZOS_CRUZADOS
10.100000,BRAZOS_CRUZADOS
10.200000,BRAZOS_CRUZADOS
10.300000,BRAZOS_CRUZADOS
10.400000,BRAZOS_CRUZADOS
10.500000,BRAZOS_CRUZADOS
10.600000,BRAZOS_CRUZADOS
10.700000,BRAZOS_CRUZADOS
10.800000,BRAZOS_CRUZADOS
10.900000,BRAZOS_CRUZADOS
11.000000,BRAZOS_CRUZADOS
11.100000,BRAZOS_CRUZADOS
11.200000,BRAZOS_CRUZADOS
11.300000,BRAZOS_CRUZADOS
11.400000,BRAZOS_CRUZADOS
11.500000,BRAZOS_CRUZADOS
11.600000,BRAZOS_CRUZADOS
11.700000,BRAZOS_CRUZADOS
11.800000,BRAZOS_CRUZADOS
11.900000,BRAZOS_CRUZADOS
12.000000,BRAZOS_CRUZADOS
12.100000,OTRO
12.200000,OTRO
12.300000,OTRO
12.400000,OTRO
12.500000,OTRO
12.600000,FIRMES
12.700000,FIRMES
12.800000,FIRMES
12.900000,FIRMES
13.000000,FIRMES
13.100000,FIRMES
13.200000,FIRMES
13.300000,FIRMES
13.400000,FIRMES
13.500000,FIRMES
13.600000,FIRMES
13.700000,FIRMES
13.800000,FIRMES
13.900000,FIRMES
14.000000,FIRMES
14.100000,FIRMES
14.200000,FIRMES
14.300000,OTRO
14.400000,OTRO
14.500000,OTRO
