Segundo,Pose
0.500000,FIRMES
1.000000,FIRMES
1.500000,OTRO
2.000000,BRAZOS_CRUZADOS
2.500000,FIRMES
3.000000,FIRMES
3.500000,FIRMES
4.000000,FIRMES
4.500000,FIRMES
5.000000,FIRMES
5.500000,FIRMES
6.000000,FIRMES
6.500000,BRAZOS_CRUZADOS
7.000000,BRAZOS_CRUZADOS
7.500000,BRAZOS_CRUZADOS
8.000000,BRAZOS_CRUZADOS
8.500000,OTRO
9.000000,FIRMES
9.500000,FIRMES
10.000000,FIRMES
10.500000,FIRMES
11.000000,FIRMES
11.500000,FIRMES
12.000000,FIRMES
12.500000,OTRO
13.000000,OTRO
13.500000,OTRO
14.000000,BRAZOS_CRUZADOS
14.500000,BRAZOS_CRUZADOS
15.000000,BRAZOS_CRUZADOS
15.500000,FIRMES
16.000000,FIRMES
16.500000,FIRMES
17.000000,FIRMES
17.500000,FIRMES
18.000000,FIRMES
18.500000,FIRMES
19.000000,FIRMES
19.500000,FIRMES
20.000000,FIRMES
20.500000,BRAZOS_CRUZADOS
21.000000,BRAZOS_CRUZADOS
21.500000,POSICION_FETAL
22.000000,FIRMES
22.500000,FIRMES
23.000000,FIRMES
23.500000,BRAZOS_CRUZADOS
24.000000,BRAZOS_CRUZADOS
24.500000,POSICION_FETAL
25.000000,POSICION_FETAL
25.500000,BRAZOS_CRUZADOS
26.000000,BRAZOS_CRUZADOS
26.500000,BRAZOS_CRUZADOS
27.000000,BRAZOS_CRUZADOS
27.500000,POSICION_FETAL
28.000000,BRAZOS_CRUZADOS
28.500000,BRAZOS_CRUZADOS
29.000000,FIRMES
29.500000,FIRMES
30.000000,FIRMES
30.500000,FIRMES
31.000000,FIRMES
31.500000,FIRMES
32.000000,FIRMES
32.500000,FIRMES
33.000000,FIRMES
33.500000,FIRMES
34.000000,FIRMES
34.500000,FIRMES
35.000000,OTRO
35.500000,FIRMES
36.000000,FIRMES
36.500000,FIRMES
37.000000,FIRMES
37.500000,FIRMES
38.000000,BRAZOS_CRUZADOS
38.500000,FIRMES
39.000000,FIRMES
39.500000,BRAZOS_CRUZADOS
40.000000,BRAZOS_CRUZADOS
40.500000,POSICION_FETAL
41.000000,BRAZOS_CRUZADOS
41.500000,BRAZOS_CRUZADOS
42.000000,FIRMES
42.500000,FIRMES
43.000000,FIRMES
43.500000,FIRMES
44.000000,FIRMES
44.500000,OTRO
45.000000,OTRO
45.500000,FIRMES
46.000000,FIRMES
46.500000,FIRMES
47.000000,FIRMES
47.500000,FIRMES
48.000000,FIRMES
48.500000,FIRMES
49.000000,FIRMES
49.500000,FIRMES
50.000000,FIRMES
50.500000,BRAZOS_CRUZADOS
51.000000,BRAZOS_CRUZADOS
51.500000,POSICION_FETAL
52.000000,POSICION_FETAL
52.500000,BRAZOS_CRUZADOS
53.000000,FIRMES
53.500000,FIRMES
54.000000,FIRMES
54.500000,FIRMES
55.000000,FIRMES
55.500000,FIRMES
56.000000,BRAZOS_CRUZADOS
56.500000,BRAZOS_CRUZADOS
