Segundo,Pose
21.400000,POSICION_FETAL
21.500000,POSICION_FETAL
21.600000,POSICION_FETAL
21.700000,POSICION_FETAL
21.800000,POSICION_FETAL
21.900000,POSICION_FETAL
22.000000,POSICION_FETAL
22.100000,POSICION_FETAL
22.200000,POSICION_FETAL
22.300000,POSICION_FETAL
22.400000,POSICION_FETAL
22.500000,POSICION_FETAL
22.600000,POSICION_FETAL
22.700000,POSICION_FETAL
22.800000,POSICION_FETAL
22.900000,POSICION_FETAL
23.000000,POSICION_FETAL
23.100000,POSICION_FETAL
23.200000,POSICION_FETAL
23.300000,OTRO
23.400000,BRAZOS_CRUZADOS
23.500000,BRAZOS_CRUZADOS
23.600000,BRAZOS_CRUZADOS
23.700000,BRAZOS_CRUZADOS
23.800000,BRAZOS_CRUZADOS
23.900000,BRAZOS_CRUZADOS
24.000000,BRAZOS_CRUZADOS
24.100000,BRAZOS_CRUZADOS
24.200000,BRAZOS_CRUZADOS
24.300000,BRAZOS_CRUZADOS
24.400000,BRAZOS_CRUZADOS
24.500000,BRAZOS_CRUZADOS
24.600000,BRAZOS_CRUZADOS
24.700000,BRAZOS_CRUZADOS
24.800000,BRAZOS_CRUZADOS
24.900000,BRAZOS_CRUZADOS
25.000000,BRAZOS_CRUZADOS
25.100000,BRAZOS_CRUZADOS
25.200000,BRAZOS_CRUZADOS
25.300000,BRAZOS_CRUZADOS
25.400000,BRAZOS_CRUZADOS
25.500000,BRAZOS_CRUZADOS
25.600000,BRAZOS_CRUZADOS
25.700000,BRAZOS_CRUZADOS
25.800000,BRAZOS_CRUZADOS
25.900000,BRAZOS_CRUZADOS
26.000000,BRAZOS_CRUZADOS
26.100000,BRAZOS_CRUZADOS
26.200000,BRAZOS_CRUZADOS
26.300000,BRAZOS_CRUZADOS
26.400000,BRAZOS_CRUZADOS
26.500000,BRAZOS_CRUZADOS
26.600000,BRAZOS_CRUZADOS
26.700000,BRAZOS_CRUZADOS
26.800000,BRAZOS_CRUZADOS
26.900000,BRAZOS_CRUZADOS
27.000000,BRAZOS_CRUZADOS
27.100000,BRAZOS_CRUZADOS
27.200000,BRAZOS_CRUZADOS
27.300000,BRAZOS_CRUZADOS
27.400000,BRAZOS_CRUZADOS
27.500000,BRAZOS_CRUZADOS
27.600000,BRAZOS_CRUZADOS
27.700000,BRAZOS_CRUZADOS
27.800000,BRAZOS_CRUZADOS
27.900000,BRAZOS_CRUZADOS
28.000000,BRAZOS_CRUZADOS
