Segundo,Pose
0.500000,FIRMES
1.000000,FIRMES
1.500000,FIRMES
2.000000,FIRMES
2.500000,FIRMES
3.000000,FIRMES
3.500000,FIRMES
4.000000,FIRMES
4.500000,FIRMES
5.000000,FIRMES
5.500000,FIRMES
6.000000,FIRMES
6.500000,FIRMES
7.000000,FIRMES
7.500000,OTRO
8.000000,FIRMES
8.500000,FIRMES
9.000000,OTRO
9.500000,OTRO
10.000000,OTRO
10.500000,OTRO
11.000000,FIRMES
11.500000,OTRO
12.000000,BRAZOS_CRUZADOS
12.500000,BRAZOS_CRUZADOS
13.000000,BRAZOS_CRUZADOS
13.500000,FIRMES
14.000000,FIRMES
14.500000,FIRMES
15.000000,FIRMES
15.500000,BRAZOS_CRUZADOS
16.000000,BRAZOS_CRUZADOS
16.500000,BRAZOS_CRUZADOS
17.000000,BRAZOS_CRUZADOS
17.500000,BRAZOS_CRUZADOS
18.000000,BRAZOS_CRUZADOS
18.500000,BRAZOS_CRUZADOS
19.000000,BRAZOS_CRUZADOS
19.500000,BRAZOS_CRUZADOS
20.000000,BRAZOS_CRUZADOS
20.500000,BRAZOS_CRUZADOS
21.000000,BRAZOS_CRUZADOS
21.500000,BRAZOS_CRUZADOS
22.000000,BRAZOS_CRUZADOS
22.500000,BRAZOS_CRUZADOS
23.000000,BRAZOS_CRUZADOS
23.500000,BRAZOS_CRUZADOS
24.000000,BRAZOS_CRUZADOS
24.500000,BRAZOS_CRUZADOS
25.000000,BRAZOS_CRUZADOS
25.500000,BRAZOS_CRUZADOS
26.000000,FIRMES
26.500000,POSICION_FETAL
27.000000,POSICION_FETAL
27.500000,POSICION_FETAL
28.000000,POSICION_FETAL
28.500000,POSICION_FETAL
29.000000,POSICION_FETAL
29.500000,POSICION_FETAL
30.000000,OTRO
30.500000,BRAZOS_CRUZADOS
31.000000,BRAZOS_CRUZADOS
31.500000,BRAZOS_CRUZADOS
32.000000,BRAZOS_CRUZADOS
32.500000,BRAZOS_CRUZADOS
33.000000,BRAZOS_CRUZADOS
33.500000,BRAZOS_CRUZADOS
34.000000,BRAZOS_CRUZADOS
34.500000,BRAZOS_CRUZADOS
35.000000,BRAZOS_CRUZADOS
35.500000,BRAZOS_CRUZADOS
36.000000,BRAZOS_CRUZADOS
36.500000,BRAZOS_CRUZADOS
37.000000,BRAZOS_CRUZADOS
37.500000,BRAZOS_CRUZADOS
38.000000,BRAZOS_CRUZADOS
38.500000,BRAZOS_CRUZADOS
39.000000,BRAZOS_CRUZADOS
39.500000,BRAZOS_CRUZADOS
40.000000,FIRMES
40.500000,FIRMES
41.000000,FIRMES
41.500000,FIRMES
42.000000,FIRMES
42.500000,FIRMES
43.000000,FIRMES
43.500000,FIRMES
44.000000,FIRMES
44.500000,FIRMES
45.000000,OTRO
45.500000,OTRO
46.000000,OTRO
46.500000,OTRO
47.000000,OTRO
47.500000,OTRO
48.000000,FIRMES
48.500000,FIRMES
49.000000,FIRMES
49.500000,FIRMES
50.000000,FIRMES
50.500000,FIRMES
51.000000,FIRMES
51.500000,FIRMES
52.000000,FIRMES
52.500000,POSICION_FETAL
53.000000,POSICION_FETAL
53.500000,POSICION_FETAL
54.000000,OTRO
54.500000,OTRO
55.000000,OTRO
55.500000,OTRO
56.000000,OTRO
56.500000,OTRO
57.000000,BRAZOS_CRUZADOS
57.500000,OTRO
58.000000,OTRO
58.500000,FIRMES
59.000000,OTRO
59.500000,OTRO
60.000000,OTRO
60.500000,OTRO
61.000000,OTRO
61.500000,OTRO
62.000000,OTRO
62.500000,FIRMES
63.000000,FIRMES
63.500000,FIRMES
64.000000,POSICION_FETAL
64.500000,POSICION_FETAL
65.000000,POSICION_FETAL
65.500000,FIRMES
66.000000,FIRMES
66.500000,FIRMES
67.000000,FIRMES
67.500000,FIRMES
68.000000,FIRMES
68.500000,FIRMES
69.000000,FIRMES
69.500000,FIRMES
70.000000,OTRO
70.500000,OTRO
71.000000,OTRO
71.500000,OTRO
72.000000,OTRO
72.500000,OTRO
73.000000,OTRO
73.500000,OTRO
74.000000,OTRO
74.500000,OTRO
75.000000,OTRO
75.500000,OTRO
76.000000,BRAZOS_CRUZADOS
76.500000,BRAZOS_CRUZADOS
77.000000,BRAZOS_CRUZADOS
77.500000,BRAZOS_CRUZADOS
78.000000,FIRMES
78.500000,FIRMES
79.000000,FIRMES
79.500000,BRAZOS_CRUZADOS
80.000000,BRAZOS_CRUZADOS
80.500000,FIRMES
81.000000,OTRO
81.500000,OTRO
82.000000,OTRO
82.500000,FIRMES
83.000000,BRAZOS_CRUZADOS
