Segundo,Pose
0.333333,FIRMES
0.433333,FIRMES
0.533333,FIRMES
0.633333,FIRMES
0.733333,FIRMES
0.833333,FIRMES
0.933333,FIRMES
1.033333,FIRMES
1.133333,OTRO
1.233333,OTRO
1.333333,OTRO
1.433333,OTRO
1.533333,OTRO
1.633333,OTRO
1.733333,BRAZOS_CRUZADOS
1.833333,BRAZOS_CRUZADOS
1.933333,BRAZOS_CRUZADOS
2.033333,BRAZOS_CRUZADOS
2.133333,BRAZOS_CRUZADOS
2.233333,FIRMES
2.333333,FIRMES
2.433333,FIRMES
2.533333,FIRMES
2.633333,FIRMES
2.733333,FIRMES
2.833333,FIRMES
2.933333,FIRMES
3.033333,FIRMES
3.133333,OTRO
3.233333,OTRO
3.333333,OTRO
3.433333,OTRO
3.533333,OTRO
3.633333,OTRO
3.733333,OTRO
3.833333,OTRO
3.933333,OTRO
4.033333,OTRO
4.133333,OTRO
4.233333,OTRO
4.333333,OTRO
4.433333,OTRO
4.533333,OTRO
4.633333,OTRO
4.733333,OTRO
4.833333,BRAZOS_CRUZADOS
4.933333,POSICION_FETAL
5.033333,POSICION_FETAL
5.133333,POSICION_FETAL
5.233333,POSICION_FETAL
5.333333,POSICION_FETAL
5.433333,POSICION_FETAL
5.533333,POSICION_FETAL
5.633333,POSICION_FETAL
5.733333,POSICION_FETAL
5.833333,BRAZOS_CRUZADOS
5.933333,OTRO
6.033333,OTRO
6.133333,OTRO
6.233333,OTRO
6.333333,OTRO
6.433333,OTRO
6.533333,OTRO
6.633333,OTRO
6.733333,BRAZOS_CRUZADOS
6.833333,BRAZOS_CRUZADOS
6.933333,BRAZOS_CRUZADOS
7.033333,BRAZOS_CRUZADOS
7.133333,BRAZOS_CRUZADOS
7.233333,BRAZOS_CRUZADOS
7.333333,BRAZOS_CRUZADOS
7.433333,BRAZOS_CRUZADOS
7.533333,BRAZOS_CRUZADOS
7.633333,BRAZOS_CRUZADOS
7.733333,BRAZOS_CRUZADOS
7.833333,BRAZOS_CRUZADOS
7.933333,BRAZOS_CRUZADOS
8.033333,BRAZOS_CRUZADOS
8.133333,BRAZOS_CRUZADOS
8.233333,BRAZOS_CRUZADOS
8.333333,BRAZOS_CRUZADOS
8.433333,BRAZOS_CRUZADOS
8.533333,BRAZOS_CRUZADOS
8.633333,BRAZOS_CRUZADOS
8.733333,BRAZOS_CRUZADOS
8.833333,BRAZOS_CRUZADOS
8.933333,BRAZOS_CRUZADOS
9.033333,BRAZOS_CRUZADOS
9.133333,BRAZOS_CRUZADOS
9.233333,BRAZOS_CRUZADOS
9.333333,BRAZOS_CRUZADOS
9.433333,BRAZOS_CRUZADOS
9.533333,BRAZOS_CRUZADOS
9.633333,BRAZOS_CRUZADOS
9.733333,BRAZOS_CRUZADOS
9.833333,BRAZOS_CRUZADOS
9.933333,BRAZOS_CRUZADOS
10.033333,BRAZOS_CRUZADOS
10.133333,BRAZOS_CRUZADOS
10.233333,BRAZOS_CRUZADOS
10.333333,BRAZOS_CRUZADOS
10.433333,BRAZOS_CRUZADOS
10.533333,BRAZOS_CRUZADOS
10.633333,BRAZOS_CRUZADOS
10.733333,BRAZOS_CRUZADOS
10.833333,BRAZOS_CRUZADOS
10.933333,POSICION_FETAL
11.033333,POSICION_FETAL
11.133333,POSICION_FETAL
11.233333,POSICION_FETAL
11.333333,POSICION_FETAL
11.433333,POSICION_FETAL
11.533333,POSICION_FETAL
11.633333,POSICION_FETAL
11.733333,POSICION_FETAL
11.833333,BRAZOS_CRUZADOS
11.933333,BRAZOS_CRUZADOS
12.033333,BRAZOS_CRUZADOS
12.133333,FIRMES
12.233333,FIRMES
12.333333,FIRMES
12.433333,OTRO
12.533333,OTRO
12.633333,OTRO
12.733333,OTRO
12.833333,OTRO
12.933333,OTRO
13.033333,OTRO
13.133333,OTRO
13.233333,OTRO
13.333333,OTRO
13.433333,OTRO
13.533333,OTRO
13.633333,OTRO
13.733333,OTRO
13.833333,OTRO
13.933333,BRAZOS_CRUZADOS
14.033333,BRAZOS_CRUZADOS
14.133333,BRAZOS_CRUZADOS
14.233333,BRAZOS_CRUZADOS
14.333333,BRAZOS_CRUZADOS
14.433333,BRAZOS_CRUZADOS
14.533333,BRAZOS_CRUZADOS
14.633333,POSICION_FETAL
14.733333,POSICION_FETAL
14.833333,POSICION_FETAL
14.933333,POSICION_FETAL
15.033333,POSICION_FETAL
15.133333,POSICION_FETAL
15.233333,POSICION_FETAL
15.333333,POSICION_FETAL
15.433333,POSICION_FETAL
15.533333,BRAZOS_CRUZADOS
15.633333,BRAZOS_CRUZADOS
15.733333,BRAZOS_CRUZADOS
15.833333,BRAZOS_CRUZADOS
15.933333,BRAZOS_CRUZADOS
16.033333,OTRO
16.133333,OTRO
16.233333,OTRO
16.333333,OTRO
16.433333,OTRO
16.533333,OTRO
16.633333,OTRO
16.733333,OTRO
16.833333,OTRO
16.933333,OTRO
17.033333,OTRO
17.133333,OTRO
17.233333,OTRO
17.333333,OTRO
17.433333,OTRO
17.533333,OTRO
17.633333,OTRO
17.733333,OTRO
17.833333,OTRO
17.933333,OTRO
18.033333,OTRO
18.133333,OTRO
18.233333,OTRO
18.333333,OTRO
18.433333,OTRO
18.533333,OTRO
18.633333,OTRO
18.733333,OTRO
18.833333,OTRO
18.933333,OTRO
19.033333,OTRO
19.133333,OTRO
19.233333,OTRO
19.333333,OTRO
19.433333,OTRO
19.533333,OTRO
19.633333,OTRO
19.733333,OTRO
19.833333,OTRO
19.933333,OTRO
20.033333,OTRO
20.133333,OTRO
20.233333,OTRO
20.333333,OTRO
20.433333,OTRO
20.533333,FIRMES
20.633333,FIRMES
20.733333,OTRO
20.833333,OTRO
20.933333,OTRO
21.033333,OTRO
21.133333,OTRO
21.233333,OTRO
21.333333,OTRO
21.433333,OTRO
21.533333,OTRO
21.633333,OTRO
21.733333,OTRO
21.833333,OTRO
21.933333,OTRO
22.033333,FIRMES
22.133333,OTRO
22.233333,OTRO
22.333333,OTRO
22.433333,OTRO
22.533333,OTRO
22.633333,OTRO
22.733333,OTRO
22.833333,OTRO
22.933333,OTRO
23.033333,OTRO
23.133333,OTRO
23.233333,OTRO
23.333333,OTRO
23.433333,OTRO
23.533333,OTRO
23.633333,OTRO
23.733333,OTRO
23.833333,OTRO
23.933333,OTRO
24.033333,OTRO
24.133333,OTRO
24.233333,OTRO
24.333333,OTRO
24.433333,OTRO
24.533333,OTRO
24.633333,OTRO
24.733333,OTRO
24.833333,OTRO
24.933333,OTRO
25.033333,OTRO
25.133333,OTRO
25.233333,OTRO
25.333333,OTRO
25.433333,OTRO
25.533333,OTRO
25.633333,OTRO
25.733333,OTRO
25.833333,OTRO
25.933333,OTRO
26.033333,OTRO
26.133333,OTRO
26.233333,OTRO
26.333333,OTRO
26.433333,OTRO
26.533333,OTRO
26.633333,OTRO
26.733333,OTRO
26.833333,OTRO
26.933333,OTRO
27.033333,FIRMES
27.133333,FIRMES
27.233333,FIRMES
27.333333,FIRMES
27.433333,FIRMES
27.533333,FIRMES
27.633333,OTRO
27.733333,OTRO
27.833333,FIRMES
27.933333,BRAZOS_CRUZADOS
28.033333,BRAZOS_CRUZADOS
28.133333,BRAZOS_CRUZADOS
28.233333,BRAZOS_CRUZADOS
28.333333,BRAZOS_CRUZADOS
28.433333,BRAZOS_CRUZADOS
28.533333,BRAZOS_CRUZADOS
28.633333,FIRMES
28.733333,FIRMES
28.833333,FIRMES
28.933333,FIRMES
29.033333,FIRMES
29.133333,FIRMES
29.233333,OTRO
29.333333,BRAZOS_CRUZADOS
29.433333,BRAZOS_CRUZADOS
29.533333,BRAZOS_CRUZADOS
29.633333,BRAZOS_CRUZADOS
29.733333,OTRO
29.833333,FIRMES
29.933333,FIRMES
30.033333,FIRMES
30.133333,FIRMES
30.233333,FIRMES
30.333333,FIRMES
30.433333,FIRMES
30.533333,FIRMES
30.633333,FIRMES
30.733333,FIRMES
30.833333,POSICION_FETAL
30.933333,POSICION_FETAL
31.033333,POSICION_FETAL
31.133333,POSICION_FETAL
31.233333,POSICION_FETAL
31.333333,POSICION_FETAL
31.433333,POSICION_FETAL
31.533333,BRAZOS_CRUZADOS
31.633333,BRAZOS_CRUZADOS
31.733333,BRAZOS_CRUZADOS
31.833333,FIRMES
31.933333,OTRO
32.033333,OTRO
32.133333,OTRO
32.233333,OTRO
32.333333,OTRO
32.433333,OTRO
32.533333,OTRO
32.633333,OTRO
32.733333,OTRO
32.833333,OTRO
32.933333,OTRO
33.033333,OTRO
33.133333,OTRO
33.233333,OTRO
33.333333,OTRO
33.433333,OTRO
33.533333,OTRO
33.633333,FIRMES
